Юзер,Роли,Кол-во сообщений,Дата присоединения к Magicblock,Дней на сервере,Возраст аккаунта (дней),UserID
"buekhuek","ukraine magicians, Wizard, 🔫, 🍃, Builder, russia magicians, Apprentice, Verified Human",24254,"2025-04-16",289,808,"1174283459448033290"
"sleijone","Wizard, 🔫, Sorcerer, 🍃, ⛓, Builder, nigeria magicians, Verified Human",21146,"2025-05-09",266,813,"1172507561715564549"
"dakehnyy","Adept, Wizard, Builder, Mod, Verified Human",13367,"2025-07-21",193,2093,"708420216518082630"
"invok_er0","Wizard, 🔫, 🍃, ⛓, Builder, nigeria magicians, Apprentice, Verified Human",12359,"2025-09-24",128,1236,"1019174821285855273"
"simpletox","ukraine magicians, Adept, indonesia magicians, Event Magician, Wizard, 🔫, korea magicians, mandarin magicians, vietnam magicians, Gaming Magician, 🍃, Builder, russia magicians, nigeria magicians, Art Magician, Mod, Verified Human",7987,"2025-06-27",217,1396,"961163652948459570"
"s_tranik","ukraine magicians, Wizard, 🔫, 🍃, ⛓, russia magicians, Apprentice, Verified Human",7364,"2025-11-19",72,1623,"878851522547580928"
"weeklang","ukraine magicians, Wizard, 🔫, Sorcerer, Gaming Magician, russia magicians, cringe helper, Art Magician, Server Booster, Verified Human",7279,"2025-06-13",231,3012,"375327885776650240"
"aavalee05","ukraine magicians, indonesia magicians, Wizard, 🔫, mandarin magicians, vietnam magicians, Builder, russia magicians, nigeria magicians, Apprentice, Verified Human",6288,"2025-09-14",139,372,"1332306593101910036"
"_maxwell_99","ukraine magicians, Wizard, 🔫, russia magicians, Apprentice, Verified Human",5974,"2025-12-01",61,1418,"953086354697363528"
"moscow1099","Покинул сервер",5761,"Покинул сервер",N/A,N/A,"1223284764224655457"
"16vivz","indonesia magicians, Wizard, Team, 🔫, mandarin magicians, Creator, 🍃, Builder, Inner Circle, Verified Human",5682,"2025-01-20",376,1924,"769733761013121025"
"globecryptoz","Wizard, 🔫, Gaming Magician, russia magicians, Apprentice, Verified Human",5146,"2025-10-12",111,1656,"867018080285622272"
"misha1985","Event Magician, Wizard, 🔫, 🍃, russia magicians, Apprentice, Verified Human",5137,"2025-06-13",231,1584,"893015396385431572"
"dimakuncik","Wizard, 🔫, 🍃, Builder, russia magicians, Verified Human",4977,"2025-06-22",222,737,"1199818025822584922"
"ihorporsche","ukraine magicians, Wizard, 🔫, Sorcerer, Builder, Server Booster, Verified Human",4910,"2025-04-15",290,1718,"844528520067809280"
